sample_accession	axis	program_type	spatial_program	spot_spearman	n_spots
GSM6086618	F6	CORE	fibroblast_matrix	-0.16810735204638805	1044
GSM6086618	F6	CORE	fibroblast_inflammatory	0.3065298547136252	1044
GSM6086618	F6	CORE	endothelial_vascular	0.4359708025105394	1044
GSM6086618	F6	CORE	myeloid_dendritic	0.6007521464578043	1044
GSM6086618	F6	CORE	T_NK_cytotoxic	0.5808260457570864	1044
GSM6086618	F6	CORE	B_plasma	0.23051312731454474	1044
GSM6086618	F6	EXTENDED	keratinocyte_basal	0.5755696248661533	1044
GSM6086618	F6	EXTENDED	keratinocyte_spinous_suprabasal	0.30183176528984335	1044
GSM6086618	F6	EXTENDED	keratinocyte_inflammatory_T17	0.4769335772155147	1044
GSM6086618	F6	EXTENDED	keratinocyte_stress_hypoxia	0.5699267447732602	1044
GSM6086618	F6	EXTENDED	fibroblast_matrix	-0.16732592109589167	1044
GSM6086618	F6	EXTENDED	fibroblast_inflammatory	0.32042775045838096	1044
GSM6086618	F6	EXTENDED	endothelial_vascular	0.46232101613096266	1044
GSM6086618	F6	EXTENDED	myeloid_dendritic	0.5979103622530365	1044
GSM6086618	F6	EXTENDED	T_NK_cytotoxic	0.600937431697632	1044
GSM6086618	F6	EXTENDED	B_plasma	0.2287983265515296	1044
GSM6086618	F7	CORE	keratinocyte_basal	0.589585954678052	1044
GSM6086618	F7	CORE	keratinocyte_spinous_suprabasal	0.27576119379809266	1044
GSM6086618	F7	CORE	keratinocyte_inflammatory_T17	0.4765740966971966	1044
GSM6086618	F7	CORE	keratinocyte_stress_hypoxia	0.5292023239141522	1044
GSM6086618	F7	CORE	fibroblast_matrix	-0.2616048500563051	1044
GSM6086618	F7	CORE	fibroblast_inflammatory	0.2897931837088599	1044
GSM6086618	F7	CORE	endothelial_vascular	0.4795330751331822	1044
GSM6086618	F7	CORE	myeloid_dendritic	0.5848657659070484	1044
GSM6086618	F7	CORE	T_NK_cytotoxic	0.6042699318499005	1044
GSM6086618	F7	CORE	B_plasma	0.2227483212930746	1044
GSM6086618	F7	EXTENDED	keratinocyte_basal	0.591058547405983	1044
GSM6086618	F7	EXTENDED	keratinocyte_spinous_suprabasal	0.2866032172967832	1044
GSM6086618	F7	EXTENDED	keratinocyte_inflammatory_T17	0.4801677627277046	1044
GSM6086618	F7	EXTENDED	keratinocyte_stress_hypoxia	0.5477600664054436	1044
GSM6086618	F7	EXTENDED	fibroblast_matrix	-0.24783177666627446	1044
GSM6086618	F7	EXTENDED	fibroblast_inflammatory	0.2966593581816257	1044
GSM6086618	F7	EXTENDED	endothelial_vascular	0.48417213657431246	1044
GSM6086618	F7	EXTENDED	myeloid_dendritic	0.5931168499558716	1044
GSM6086618	F7	EXTENDED	T_NK_cytotoxic	0.6083877764006461	1044
GSM6086618	F7	EXTENDED	B_plasma	0.22532983492035524	1044
GSM6086619	F1	CORE	keratinocyte_basal	0.32813688211591074	447
GSM6086619	F1	CORE	keratinocyte_spinous_suprabasal	0.24796425712109318	447
GSM6086619	F1	CORE	keratinocyte_inflammatory_T17	0.25681719463914615	447
GSM6086619	F1	CORE	keratinocyte_stress_hypoxia	0.3444870972767412	447
GSM6086619	F1	CORE	fibroblast_matrix	0.19479117630836662	447
GSM6086619	F1	CORE	fibroblast_inflammatory	0.26270462455612714	447
GSM6086619	F1	CORE	endothelial_vascular	0.28056198248403375	447
GSM6086619	F1	CORE	myeloid_dendritic	0.22322856141145983	447
GSM6086619	F1	CORE	T_NK_cytotoxic	0.13233801074934345	447
GSM6086619	F1	CORE	B_plasma	0.07559342221157957	447
GSM6086619	F1	EXTENDED	keratinocyte_basal	0.34546880125800533	447
GSM6086619	F1	EXTENDED	keratinocyte_spinous_suprabasal	0.3264544973081265	447
GSM6086619	F1	EXTENDED	keratinocyte_inflammatory_T17	0.2598674493400584	447
GSM6086619	F1	EXTENDED	keratinocyte_stress_hypoxia	0.35758769737214924	447
GSM6086619	F1	EXTENDED	fibroblast_matrix	0.29356713884290514	447
GSM6086619	F1	EXTENDED	fibroblast_inflammatory	0.3225509845210946	447
GSM6086619	F1	EXTENDED	endothelial_vascular	0.2923809748927419	447
GSM6086619	F1	EXTENDED	myeloid_dendritic	0.2701168012731972	447
GSM6086619	F1	EXTENDED	T_NK_cytotoxic	0.1362815292954302	447
GSM6086619	F1	EXTENDED	B_plasma	0.07412559126040458	447
GSM6086619	F2	CORE	keratinocyte_basal	0.3688976756158813	447
GSM6086619	F2	CORE	keratinocyte_spinous_suprabasal	0.3260724107652852	447
GSM6086619	F2	CORE	keratinocyte_inflammatory_T17	0.24023115766901432	447
GSM6086619	F2	CORE	keratinocyte_stress_hypoxia	0.31768525892887284	447
GSM6086619	F2	CORE	fibroblast_matrix	0.34414574420591937	447
GSM6086619	F2	CORE	fibroblast_inflammatory	0.37231291131483246	447
GSM6086619	F2	CORE	endothelial_vascular	0.28684446227028076	447
GSM6086619	F2	CORE	myeloid_dendritic	0.271618352954287	447
GSM6086619	F2	CORE	T_NK_cytotoxic	0.11152340349168799	447
GSM6086619	F2	CORE	B_plasma	0.07706202184030005	447
GSM6086619	F2	EXTENDED	keratinocyte_basal	0.3507827464146191	447
GSM6086619	F2	EXTENDED	keratinocyte_spinous_suprabasal	0.33053444371254936	447
GSM6086619	F2	EXTENDED	keratinocyte_inflammatory_T17	0.24814888165021265	447
GSM6086619	F2	EXTENDED	keratinocyte_stress_hypoxia	0.32935238801033506	447
GSM6086619	F2	EXTENDED	fibroblast_matrix	0.34397478855252644	447
GSM6086619	F2	EXTENDED	fibroblast_inflammatory	0.3565555450334787	447
GSM6086619	F2	EXTENDED	endothelial_vascular	0.30369643136295166	447
